cell_id,area,perimeter,centroid_y,centroid_x,eccentricity,orientation_rad,major_axis_length,minor_axis_length,dataset,shear_stress,supplementation,replicate,section
1,905.0,122.80508652763321,13.731491712707182,14.38232044198895,0.7287605502688914,-0.845214110276644,42.441761203633774,29.06278617029528,S-BIAD1540,static,BSA 0.1,rep 1,nan
2,6781.0,374.8355697996826,41.43784102639729,50.268102049845155,0.8599748382201544,-0.9141385084868051,132.86855907254437,67.80766685696275,S-BIAD1540,static,BSA 0.1,rep 1,nan
3,8990.0,400.9604614807104,44.94293659621802,142.4607341490545,0.7849036067754835,-1.0016510357220532,139.02769434896032,86.14404645161027,S-BIAD1540,static,BSA 0.1,rep 1,nan
4,1676.0,163.53910524340097,17.984486873508352,237.11873508353221,0.6304021503921556,-1.0758481300867204,53.89318222341411,41.83559168996563,S-BIAD1540,static,BSA 0.1,rep 1,nan
5,10602.0,492.18481220460006,77.85766836445954,289.5029239766082,0.9301896679462899,-0.23237787665893728,199.52763348336651,73.24245564743404,S-BIAD1540,static,BSA 0.1,rep 1,nan
6,2062.0,215.78174593052023,49.545586808923375,344.9180407371484,0.8676878778083771,-0.01354262250427341,77.53186776969825,38.54181957663809,S-BIAD1540,static,BSA 0.1,rep 1,nan
7,4193.0,278.61017305526644,37.117099928452184,382.9513474839017,0.7943958761876431,0.23536560492974845,98.26586443020469,59.686720991215125,S-BIAD1540,static,BSA 0.1,rep 1,nan
8,1030.0,136.66904755831214,18.695145631067962,453.20485436893205,0.8005622800888935,-0.21679322161426098,48.36322237919084,28.98163975264964,S-BIAD1540,static,BSA 0.1,rep 1,nan
9,4653.0,330.214249456123,56.3511712873415,470.22781001504404,0.9417265176695324,-0.4451535900386926,135.156780324011,45.463969764663375,S-BIAD1540,static,BSA 0.1,rep 1,nan
10,3464.0,247.39696961966996,41.15473441108545,521.943129330254,0.8127718780443729,-0.08722675949098797,88.89243595982578,51.78713980464108,S-BIAD1540,static,BSA 0.1,rep 1,nan
11,3541.0,245.80508652763322,30.086133860491387,571.6074555210392,0.5838770814369598,-0.45714322829874277,76.41348637473871,62.035683290912864,S-BIAD1540,static,BSA 0.1,rep 1,nan
12,5722.0,299.48023074035524,41.61814051031108,633.5540020971688,0.6348768791258653,-0.33002975514135346,98.17693536872183,75.8528083708549,S-BIAD1540,static,BSA 0.1,rep 1,nan
13,1921.0,213.78174593052023,22.0223841749089,688.8990109318064,0.8184883949745733,-0.5747724522635111,73.3551275957297,42.1442124253496,S-BIAD1540,static,BSA 0.1,rep 1,nan
14,2947.0,244.14927829866735,36.91720393620631,718.2222599253478,0.916970428679097,-0.6794961141153499,99.1718488623703,39.565122475658036,S-BIAD1540,static,BSA 0.1,rep 1,nan
15,5811.0,472.6589462905455,69.8291171915333,743.3014971605576,0.9765865690897905,-0.49497830438938883,197.5425677673071,42.49630239731366,S-BIAD1540,static,BSA 0.1,rep 1,nan
16,2003.0,206.6812408671319,27.858711932101848,804.9395906140788,0.9004574677063115,-0.6121954564782358,78.49788044227019,34.14218804122701,S-BIAD1540,static,BSA 0.1,rep 1,nan
17,6503.0,322.48023074035524,41.96001845302168,872.9449484853145,0.5887360418297374,-0.37298869567724513,102.92466934995888,83.19661947767902,S-BIAD1540,static,BSA 0.1,rep 1,nan
18,612.0,112.01219330881975,7.321895424836601,931.0228758169935,0.8930697024600311,-1.4290527166877454,43.766433277989215,19.691320710468244,S-BIAD1540,static,BSA 0.1,rep 1,nan
19,16441.0,676.8254685319159,97.57253208442309,933.4546560428198,0.9028794548661722,-0.594231788279074,241.7042809965594,103.90717484246957,S-BIAD1540,static,BSA 0.1,rep 1,nan
20,3889.0,317.1543289325507,71.55901259964001,1007.8333761892517,0.9652934854509959,-0.07446354042721805,141.31101869390574,36.90585193776908,S-BIAD1540,static,BSA 0.1,rep 1,nan
21,2688.0,230.71067811865476,43.22470238095238,426.82924107142856,0.9026781629574286,0.05927930188638133,90.75107803458616,39.05166981582033,S-BIAD1540,static,BSA 0.1,rep 1,nan
22,4070.0,355.8711037056153,91.79680589680589,810.760687960688,0.9639392674930525,-0.2811703479266574,145.411877623685,38.69734606014225,S-BIAD1540,static,BSA 0.1,rep 1,nan
23,8448.0,400.63455967290594,98.6852509469697,194.32907196969697,0.7429870577521283,-0.46053313577207944,133.1520265319336,89.11942146109858,S-BIAD1540,static,BSA 0.1,rep 1,nan
24,3210.0,336.09545442950497,95.82647975077882,245.58629283489097,0.9836098800806974,-0.11397684379091173,152.6504105803472,27.524356464366114,S-BIAD1540,static,BSA 0.1,rep 1,nan
25,4746.0,351.889393668845,114.00484618626211,756.2250316055625,0.9572653138060817,-0.6333416083645196,145.7604070636618,42.155542435499974,S-BIAD1540,static,BSA 0.1,rep 1,nan
26,6115.0,366.7766952966369,113.48830744071954,574.8816026165167,0.8372152846360066,-0.29793541311093313,126.80116283985242,69.34418902185901,S-BIAD1540,static,BSA 0.1,rep 1,nan
27,20335.0,672.2874093090415,175.6411605606098,621.6044258667322,0.9368383570679559,-0.633720883927454,274.9276604838342,96.15941977548553,S-BIAD1540,static,BSA 0.1,rep 1,nan
28,8515.0,516.8244225113893,186.6095126247798,479.7970640046976,0.9589420915224129,-0.3127050959978082,208.93950226827587,59.255649930084914,S-BIAD1540,static,BSA 0.1,rep 1,nan
29,4723.0,297.97160876900364,125.4306584797798,409.68282871056533,0.8479106294198773,0.11020261766276047,108.2779754979747,57.402398607572586,S-BIAD1540,static,BSA 0.1,rep 1,nan
30,10563.0,418.31475451951127,124.5346965824103,68.10432642241787,0.7621397834052513,1.5526205618115512,145.23188349915242,94.02493738098775,S-BIAD1540,static,BSA 0.1,rep 1,nan
31,1996.0,205.7228714274745,113.94288577154309,836.9519038076153,0.920618243134485,-0.33742777162198667,83.30372189793212,32.527095411915425,S-BIAD1540,static,BSA 0.1,rep 1,nan
32,2728.0,235.3319984622144,123.13526392961877,335.8405425219941,0.9273852104499843,-0.2634584373871774,97.11023451763971,36.32969949183143,S-BIAD1540,static,BSA 0.1,rep 1,nan
33,4304.0,341.23149339882605,141.31366171003717,528.523466542751,0.9642213589216941,-0.041030185790975233,147.5923113293667,39.12648817921549,S-BIAD1540,static,BSA 0.1,rep 1,nan
34,5953.0,530.2386360737624,178.6015454392743,444.1369057618008,0.986564998863207,-0.32527973912694497,230.13816058557728,37.597492473582264,S-BIAD1540,static,BSA 0.1,rep 1,nan
35,2773.0,267.9421715174808,136.09304002884963,857.6729174179588,0.9592595756968478,-0.5539810974736376,113.05717463730066,31.94161648355896,S-BIAD1540,static,BSA 0.1,rep 1,nan
36,5059.0,497.53510063004416,218.2530144297292,268.1895631547737,0.98530564615239,-0.44233887586911225,218.11834950524894,37.25470582527331,S-BIAD1540,static,BSA 0.1,rep 1,nan
37,4852.0,412.167568261897,205.30090684253915,346.8033800494641,0.9738157809030261,-0.4202377683482131,172.39468626088308,39.191961243348906,S-BIAD1540,static,BSA 0.1,rep 1,nan
38,13986.0,636.4579361637689,263.2273702273702,978.4480194480194,0.9551397703687545,-0.3698109952178147,261.0946270771098,77.32458288708371,S-BIAD1540,static,BSA 0.1,rep 1,nan
39,14498.0,682.0924958366747,258.9674437853497,724.66202234791,0.9763194295556122,-0.4829516978493629,307.50549733759135,66.52387430133166,S-BIAD1540,static,BSA 0.1,rep 1,nan
40,7197.0,532.6711395993652,268.16979296929276,345.76990412671944,0.9685833139674268,-0.5037588434245228,231.9486418897876,57.68314350787699,S-BIAD1540,static,BSA 0.1,rep 1,nan
41,17362.0,667.1097397793778,265.83573321045964,901.9206312636793,0.9320212206379326,-0.5898401136832988,260.0534577240985,94.24433617645265,S-BIAD1540,static,BSA 0.1,rep 1,nan
42,8819.0,692.9331162702407,266.2710057829686,840.1980950221114,0.9891308704591205,-0.5899012517081502,326.95563795883413,48.07484490306847,S-BIAD1540,static,BSA 0.1,rep 1,nan
43,5391.0,384.47518010647184,234.55685401595252,785.0784641068448,0.9689368844487168,-0.4804562017703666,168.33816943646877,41.63139884075158,S-BIAD1540,static,BSA 0.1,rep 1,nan
44,6420.0,347.88225099390854,191.97523364485983,60.73364485981308,0.8966322214298352,1.5129838481599756,138.05800004647776,61.12878045885973,S-BIAD1540,static,BSA 0.1,rep 1,nan
45,1934.0,213.5512985522207,200.15977249224406,298.18717683557395,0.943380529684849,-0.4616227768088611,88.15775323835462,29.24302786468594,S-BIAD1540,static,BSA 0.1,rep 1,nan
46,8788.0,479.1269837220809,265.28550295857985,634.3631087847065,0.9578796335318029,-0.6135752538890801,204.1751999553292,58.6329917321276,S-BIAD1540,static,BSA 0.1,rep 1,nan
47,3960.0,371.30360723121805,239.79520202020203,690.8760101010101,0.9846875672833008,-0.4736536771842584,172.38780330092058,30.052091803430542,S-BIAD1540,static,BSA 0.1,rep 1,nan
48,6945.0,463.7117241391813,283.645932325414,386.1098632109431,0.9619229939123863,-0.27474875438690494,195.4598419686064,53.423202497868,S-BIAD1540,static,BSA 0.1,rep 1,nan
49,2326.0,276.53405460951757,250.42648323301805,809.2450558899399,0.9804179665092088,-0.47365649225006196,126.2412373117425,24.8604259713376,S-BIAD1540,static,BSA 0.1,rep 1,nan
50,8110.0,416.3097038856279,272.3664611590629,494.51874229346487,0.8508073535446345,-0.7727094694935549,148.13399273311018,77.84111457952154,S-BIAD1540,static,BSA 0.1,rep 1,nan
51,8232.0,479.69953083036154,244.92796404275995,75.43707482993197,0.9372756574114512,-1.5565751523080817,180.98167285688126,63.08823362540665,S-BIAD1540,static,BSA 0.1,rep 1,nan
52,3722.0,268.53405460951757,282.7224610424503,280.19586243954865,0.8632656643438151,-0.7812203964886537,101.00709012090849,50.98331175542988,S-BIAD1540,static,BSA 0.1,rep 1,nan
53,9653.0,539.9310242291876,301.87413239407437,76.80389516212577,0.9546314251905704,-1.211858071068038,220.05519705025335,65.53022158873348,S-BIAD1540,static,BSA 0.1,rep 1,nan
54,1737.0,186.75230867899737,283.9447322970639,193.03108808290156,0.9142655775717814,-0.9901934816207797,74.95682192607804,30.36615978426812,S-BIAD1540,static,BSA 0.1,rep 1,nan
55,2899.0,266.9482681718907,322.5922731976544,187.16109003104518,0.9438309990009265,-0.8705336003792179,109.27588082571332,36.10787393835557,S-BIAD1540,static,BSA 0.1,rep 1,nan
56,4650.0,288.9360748630709,334.1683870967742,537.3576344086022,0.8548069699967222,-0.5896547708965952,109.2399072080731,56.68962268798872,S-BIAD1540,static,BSA 0.1,rep 1,nan
57,5826.0,319.32085117392114,353.6762787504291,422.49176107106075,0.8483677006837047,-0.30786610755090843,119.63560304062118,63.33597911927292,S-BIAD1540,static,BSA 0.1,rep 1,nan
58,4996.0,422.8599564173221,341.6297037630104,86.9837870296237,0.9829527321426792,-1.1396630149476275,189.5303586825406,34.846756293402656,S-BIAD1540,static,BSA 0.1,rep 1,nan
59,8215.0,395.6467529817257,367.9711503347535,735.2065733414486,0.8921795940283738,-0.5294497648974605,154.53999306341532,69.80275230255297,S-BIAD1540,static,BSA 0.1,rep 1,nan
60,5393.0,414.97875144394004,373.4539217504172,958.6625254960134,0.9783494894757712,-0.7648084764527148,192.94399182899,39.93161156260565,S-BIAD1540,static,BSA 0.1,rep 1,nan
61,3466.0,299.6406563273158,342.6733987305251,214.65406809001732,0.934641688125124,-1.03926146157052,115.60271421489483,41.10727752302287,S-BIAD1540,static,BSA 0.1,rep 1,nan
62,2669.0,286.6761902332486,360.42600224803294,618.7980517047583,0.9625075383217896,-0.6161327332113897,118.44316419509292,32.12829256736986,S-BIAD1540,static,BSA 0.1,rep 1,nan
63,5468.0,325.86500705120545,377.80065837600586,474.5005486466715,0.8952415115912995,-0.29074443826888713,126.0129157111693,56.14899045859014,S-BIAD1540,static,BSA 0.1,rep 1,nan
64,3435.0,276.90663761154804,356.22328966521104,265.9947598253275,0.925839574429035,-1.2150230730400795,111.64689869135142,42.193234946031794,S-BIAD1540,static,BSA 0.1,rep 1,nan
65,3649.0,319.50461735799473,373.1405864620444,104.8698273499589,0.9622351628265244,-1.007910008344209,133.56180166854878,36.35813551437968,S-BIAD1540,static,BSA 0.1,rep 1,nan
66,9565.0,464.842712474619,407.4237323575536,536.4568740198641,0.9328711284782192,-0.7975324580149039,186.6314851102714,67.2265825741165,S-BIAD1540,static,BSA 0.1,rep 1,nan
67,9467.0,583.6955262170047,446.02292172810814,949.8019435935354,0.9836190538508892,-0.5917872135506093,268.3766854008457,48.37749890459043,S-BIAD1540,static,BSA 0.1,rep 1,nan
68,6104.0,379.6295090390226,405.23263433813895,303.5421035386632,0.9533032471882357,-0.6975611881076901,163.6827378263336,49.43460376782684,S-BIAD1540,static,BSA 0.1,rep 1,nan
69,9862.0,527.7604973744603,417.12025958223484,802.6033258973839,0.9031322464301874,-0.6429755050137099,181.15473495301038,77.78104757663544,S-BIAD1540,static,BSA 0.1,rep 1,nan
70,4276.0,356.03152929257595,412.6190364826941,345.48199251637044,0.9598960274720142,-0.7044745358465547,145.75951053884006,40.86458705462499,S-BIAD1540,static,BSA 0.1,rep 1,nan
71,5015.0,378.18585822512665,422.5176470588235,600.3341974077766,0.973957034641961,-0.7457176108519934,171.91179478321828,38.9780168336279,S-BIAD1540,static,BSA 0.1,rep 1,nan
72,5278.0,376.1736649163069,419.5532398635847,240.04149298976884,0.9568943927603021,-0.777702631684186,157.17357909342059,45.648879419398554,S-BIAD1540,static,BSA 0.1,rep 1,nan
73,7571.0,460.8010819142764,438.8894465724475,853.9931316866993,0.9700612138242128,-0.5093970811479591,208.94558479205625,50.7446373573998,S-BIAD1540,static,BSA 0.1,rep 1,nan
74,4085.0,378.21424945612296,394.01933904528767,145.07711138310893,0.9733237939645499,-1.3176953659376183,155.33766878070125,35.640024263762186,S-BIAD1540,static,BSA 0.1,rep 1,nan
75,5300.0,357.56958851545033,444.3256603773585,647.196037735849,0.9364022707123753,-0.27029679041041826,144.1912809762719,50.600824870101206,S-BIAD1540,static,BSA 0.1,rep 1,nan
76,10666.0,596.3685783886737,430.4895930995687,110.51040690043128,0.9626468658531491,-1.520808754527525,258.48458296866016,69.98730194398942,S-BIAD1540,static,BSA 0.1,rep 1,nan
77,5136.0,461.99094475275984,474.2042445482866,969.5780763239875,0.988887944155096,-0.6337718303515181,214.90738231445593,31.948737388413093,S-BIAD1540,static,BSA 0.1,rep 1,nan
78,1726.0,191.34419177103413,436.48319814600234,429.71205098493624,0.9040311208765089,-0.48092517666624546,75.39427168367493,32.22853635995035,S-BIAD1540,static,BSA 0.1,rep 1,nan
79,4752.0,316.3269478283311,443.9808501683502,378.3160774410774,0.8953369567950227,-0.7803525523698467,118.91254173712396,52.96238777463904,S-BIAD1540,static,BSA 0.1,rep 1,nan
80,3685.0,350.6639969244288,488.97503392130255,667.3538670284939,0.9766749314049985,-0.25962862037248935,159.56727431972087,34.26280532381862,S-BIAD1540,static,BSA 0.1,rep 1,nan
81,8427.0,479.1797615707168,515.5764803607452,868.3775958229501,0.9451621577336667,-0.23762542522961363,194.16964487059568,63.41608412624574,S-BIAD1540,static,BSA 0.1,rep 1,nan
82,8509.0,476.40411229460636,499.8961100011752,708.4709131507815,0.9381405012038104,-0.34987454197136825,190.36969966718766,65.91642598940751,S-BIAD1540,static,BSA 0.1,rep 1,nan
83,27302.0,813.3340905032675,615.8456889605158,971.9710643908871,0.9103065968613802,-0.10197739853854192,301.50411124507764,124.80300067017399,S-BIAD1540,static,BSA 0.1,rep 1,nan
84,7253.0,370.1198410471445,512.2135667999448,591.4434027299048,0.8341933432035916,-0.3231845619802782,133.2860686633005,73.50354686642494,S-BIAD1540,static,BSA 0.1,rep 1,nan
85,9042.0,476.07315985291854,539.3270294182703,405.95609378456095,0.9526346604212177,-0.4787200162084361,201.09550909091192,61.15658081663001,S-BIAD1540,static,BSA 0.1,rep 1,nan
86,4936.0,306.14927829866735,500.04639384116695,510.91997568881686,0.8711685791870056,-0.689446696569636,114.37924419152887,56.15838097117942,S-BIAD1540,static,BSA 0.1,rep 1,nan
87,4710.0,406.9655121145938,474.2131634819533,86.4995753715499,0.9732131687771536,1.5270618780610046,173.9361063416151,39.98871209551005,S-BIAD1540,static,BSA 0.1,rep 1,nan
88,3211.0,260.0782104868019,489.33883525381503,296.8941139831828,0.9320339286770775,-0.8715314796953582,106.7845927633924,38.69564174970166,S-BIAD1540,static,BSA 0.1,rep 1,nan
89,2332.0,217.4802307403552,479.49614065180106,241.29373927958832,0.9054328229765958,-1.3724162672505382,85.20498958620479,36.16863019799459,S-BIAD1540,static,BSA 0.1,rep 1,nan
