image_id,image_path,cell_i,cell_j,contact_px,iface_cy,iface_cx,aj_threshold,aj_channel_idx,cell_channel_idx,nuc_channel_idx,golgi_channel_idx,aj_mean_intensity,aj_max_intensity,aj_std_intensity,aj_occupancy,aj_intensity_per_interface,aj_cluster_count,aj_cluster_area_mean,aj_skeleton_len,aj_linearity_index,aj_thickness_proxy,aj_morph,dataset,shear_stress,supplementation,replicate,section
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,5,6,171,42.251461988304094,331.5029239766082,0.470703125,2,2,0,0,0.6683833862111928,1.0,0.28495806740113133,0.7090558766859345,0.5857852724296289,4,92.0,102.0,1.16619037896906,3.607843137254902,reticular,S-BIAD1540,static,BSA 0.1,rep 1,nan
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,6,7,140,34.5,357.0571428571429,0.470703125,2,2,0,0,0.5024047795545201,1.0,0.2445352121989072,0.5492957746478874,0.380773677150623,4,58.5,65.0,0.9929741518678686,3.6,reticular,S-BIAD1540,static,BSA 0.1,rep 1,nan
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,9,10,140,34.5,500.42857142857144,0.470703125,2,2,0,0,0.4271616541353384,0.9022556390977443,0.22412297783452284,0.4507042253521127,0.28860222739948466,4,48.0,60.0,0.9230769230769231,3.2,reticular,S-BIAD1540,static,BSA 0.1,rep 1,nan
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,11,12,118,29.0,600.2966101694915,0.470703125,2,2,0,0,0.6253785505430243,1.0,0.21053289252004936,0.7527777777777778,0.5417528195488722,1,271.0,77.0,1.2745130684476467,3.5194805194805197,other,S-BIAD1540,static,BSA 0.1,rep 1,nan
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,12,13,126,31.0,670.2619047619048,0.470703125,2,2,0,0,0.3952508223684211,0.8825187969924813,0.2153984092445687,0.3645833333333333,0.23081629855889726,5,28.0,60.0,1.0712577850129765,2.3333333333333335,reticular,S-BIAD1540,static,BSA 0.1,rep 1,nan
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,13,14,128,31.5,700.359375,0.470703125,2,2,0,0,0.5490914786967418,1.0,0.34653692468375313,0.5615384615384615,0.4640013495276653,2,109.5,56.0,0.7016464154456233,3.9107142857142856,straight,S-BIAD1540,static,BSA 0.1,rep 1,nan
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,15,16,116,28.5,787.3965517241379,0.470703125,2,2,0,0,0.40222112484601336,0.8599624060150376,0.2297373694665433,0.3983050847457627,0.25841351259504697,6,23.5,56.0,0.9206343289100007,2.517857142857143,reticular,S-BIAD1540,static,BSA 0.1,rep 1,nan
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,18,19,75,12.653333333333334,939.2266666666667,0.470703125,2,2,0,0,0.7744076099339257,1.0,0.2084778179999501,0.9090909090909091,0.7452397226833317,1,210.0,46.0,0.0,4.565217391304348,straight,S-BIAD1540,static,BSA 0.1,rep 1,nan
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,19,20,268,66.5,993.8358208955224,0.470703125,2,2,0,0,0.44378074816671315,1.0,0.24157721408194932,0.4691358024691358,0.3115694328413627,10,38.0,140.0,1.0575755782114622,2.7142857142857144,reticular,S-BIAD1540,static,BSA 0.1,rep 1,nan
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,1,2,85,21.176470588235293,21.647058823529413,0.470703125,2,2,0,0,0.5275126017290417,1.0,0.3122902852366981,0.5468164794007491,0.42860310889583514,1,146.0,44.0,0.9150793638884733,3.3181818181818183,straight,S-BIAD1540,static,BSA 0.1,rep 1,nan
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,2,3,144,37.5,93.93055555555556,0.470703125,2,2,0,0,0.21428783106414684,0.8712406015037594,0.20884149321205808,0.1554054054054054,0.0964340750524961,7,9.857142857142858,31.0,0.6916266597923983,2.225806451612903,reticular,S-BIAD1540,static,BSA 0.1,rep 1,nan
